RegioCode,Landcode,Naam,GGD regio,Veiligheidsregio,Veiligheidsregio Code,Provincie,Landsdeel,Schoolregio,Opp land km2,Type
GM0398,NL,Heerhugowaard,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,38,Gemeente
GM0917,NL,Heerlen,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,45,Gemeente
GM1658,NL,Heeze-Leende,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,104,Gemeente
GM0399,NL,Heiloo,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,19,Gemeente
GM0163,NL,Hellendoorn,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,138,Gemeente
GM0530,NL,Hellevoetsluis,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,41,Gemeente
GM0794,NL,Helmond,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,53,Gemeente
GM0531,NL,Hendrik-Ido-Ambacht,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,11,Gemeente
GM0164,NL,Hengelo,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,61,Gemeente
GM1966,NL,Het Hogeland,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,483,Gemeente
GM0252,NL,Heumen,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,40,Gemeente
GM0797,NL,Heusden,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,79,Gemeente
GM0534,NL,Hillegom,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,13,Gemeente
GM0798,NL,Hilvarenbeek,GGD Hart voor Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,95,Gemeente
GM0402,NL,Hilversum,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,46,Gemeente
GM1963,NL,Hoeksche Waard,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,269,Gemeente
GM1735,NL,Hof van Twente,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,213,Gemeente
GM1911,NL,Hollands Kroon,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,357,Gemeente
GM0118,NL,Hoogeveen,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,128,Gemeente
GM0405,NL,Hoorn,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,20,Gemeente
GM1507,NL,Horst aan de Maas,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,189,Gemeente
GM0321,NL,Houten,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,55,Gemeente
GM0406,NL,Huizen,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,16,Gemeente
GM0677,NL,Hulst,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,202,Gemeente
GM0353,NL,IJsselstein,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,21,Gemeente
GM1884,NL,Kaag en Braassem,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,63,Gemeente
GM0166,NL,Kampen,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,142,Gemeente
GM0678,NL,Kapelle,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,37,Gemeente
GM0537,NL,Katwijk,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,25,Gemeente
GM0928,NL,Kerkrade,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,22,Gemeente
GM1598,NL,Koggenland,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,80,Gemeente
GM0542,NL,Krimpen aan den IJssel,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,8,Gemeente
GM1931,NL,Krimpenerwaard,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,148,Gemeente
GM1659,NL,Laarbeek,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,55,Gemeente
GM1685,NL,Landerd,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,70,Gemeente
GM0882,NL,Landgraaf,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,25,Gemeente
GM0415,NL,Landsmeer,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,23,Gemeente
GM0416,NL,Langedijk,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,24,Gemeente
GM1621,NL,Lansingerland,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,53,Gemeente
GM0417,NL,Laren,GGD Gooi en Vechtstreek,Gooi en Vechtstreek,VR14      ,Noord-Holland,West-Nederland,Noord,12,Gemeente
GM0080,NL,Leeuwarden,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,238,Gemeente
GM0546,NL,Leiden,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,22,Gemeente
GM0547,NL,Leiderdorp,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,12,Gemeente
GM1916,NL,Leidschendam-Voorburg,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,33,Gemeente
GM0995,NL,Lelystad,GGD Flevoland,Flevoland,VR25      ,Flevoland,Oost-Nederland,Noord,230,Gemeente
GM1640,NL,Leudal,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,163,Gemeente
GM0327,NL,Leusden,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,59,Gemeente
GM1705,NL,Lingewaard,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,62,Gemeente
GM0553,NL,Lisse,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,16,Gemeente
GM0262,NL,Lochem,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,213,Gemeente
GM0809,NL,Loon op Zand,GGD Hart voor Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,50,Gemeente
GM0331,NL,Lopik,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,76,Gemeente
GM0168,NL,Losser,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,99,Gemeente
GM0263,NL,Maasdriel,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,66,Gemeente
GM1641,NL,Maasgouw,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,46,Gemeente
GM0556,NL,Maassluis,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,8,Gemeente
GM0935,NL,Maastricht,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,56,Gemeente
GM0420,NL,Medemblik,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,121,Gemeente
GM0938,NL,Meerssen,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,27,Gemeente
GM1948,NL,Meierijstad,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,184,Gemeente
GM0119,NL,Meppel,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,56,Gemeente
GM0687,NL,Middelburg,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,48,Gemeente
GM1842,NL,Midden-Delfland,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,47,Gemeente
GM1731,NL,Midden-Drenthe,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,341,Gemeente
GM1952,NL,Midden-Groningen,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,280,Gemeente
GM0815,NL,Mill en Sint Hubert,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,52,Gemeente
GM1709,NL,Moerdijk,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,159,Gemeente
GM1978,NL,Molenlanden,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,182,Gemeente
GM1955,NL,Montferland,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,106,Gemeente
GM0335,NL,Montfoort,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,38,Gemeente
GM0944,NL,Mook en Middelaar,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,17,Gemeente
GM1740,NL,Neder-Betuwe,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Midden,60,Gemeente
GM0946,NL,Nederweert,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,100,Gemeente
GM0356,NL,Nieuwegein,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,24,Gemeente
GM0569,NL,Nieuwkoop,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,78,Gemeente
GM0267,NL,Nijkerk,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Midden,69,Gemeente
GM0268,NL,Nijmegen,GGD Gelderland-Zuid,Gelderland-Zuid,VR08      ,Gelderland,Oost-Nederland,Zuid,53,Gemeente
GM1930,NL,Nissewaard,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,74,Gemeente
GM1970,NL,Noardeast-Fryslân,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,374,Gemeente
GM1695,NL,Noord-Beveland,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,86,Gemeente
GM1699,NL,Noordenveld,GGD Drenthe,Drenthe,VR03      ,Drenthe,Noord-Nederland,Noord,199,Gemeente
GM0171,NL,Noordoostpolder,GGD Flevoland,Flevoland,VR25      ,Flevoland,Oost-Nederland,Noord,458,Gemeente
GM0575,NL,Noordwijk,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,58,Gemeente
GM0820,NL,"Nuenen, Gerwen en Nederwetten",GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,34,Gemeente
GM0302,NL,Nunspeet,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,129,Gemeente
GM0579,NL,Oegstgeest,GGD Hollands-Midden,Hollands-Midden,VR16      ,Zuid-Holland,West-Nederland,Midden,7,Gemeente
GM0823,NL,Oirschot,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,102,Gemeente
GM0824,NL,Oisterwijk,GGD Hart voor Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,64,Gemeente
GM1895,NL,Oldambt,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,227,Gemeente
GM0269,NL,Oldebroek,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,98,Gemeente
GM0173,NL,Oldenzaal,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,22,Gemeente
GM1773,NL,Olst-Wijhe,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,114,Gemeente
GM0175,NL,Ommen,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,180,Gemeente
GM1586,NL,Oost Gelre,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,110,Gemeente
GM0826,NL,Oosterhout,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,71,Gemeente
GM0085,NL,Ooststellingwerf,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,223,Gemeente
GM0431,NL,Oostzaan,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,12,Gemeente
GM0432,NL,Opmeer,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,42,Gemeente
GM0086,NL,Opsterland,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,224,Gemeente
GM0828,NL,Oss,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,163,Gemeente
GM1509,NL,Oude IJsselstreek,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,136,Gemeente
GM0437,NL,Ouder-Amstel,GGD Amsterdam,Amsterdam-Amstelland,VR13      ,Noord-Holland,West-Nederland,Noord,24,Gemeente
GM0589,NL,Oudewater,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,39,Gemeente
GM1734,NL,Overbetuwe,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,109,Gemeente
GM0590,NL,Papendrecht,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,9,Gemeente
GM1894,NL,Peel en Maas,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,159,Gemeente
GM0765,NL,Pekela,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,49,Gemeente
GM1926,NL,Pijnacker-Nootdorp,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,37,Gemeente
GM0439,NL,Purmerend,GGD Zaanstreek/Waterland,Zaanstreek-Waterland,VR11      ,Noord-Holland,West-Nederland,Noord,23,Gemeente
GM0273,NL,Putten,GGD Noord- en Oost-Gelderland,Noord- en Oost-Gelderland,VR06      ,Gelderland,Oost-Nederland,Midden,85,Gemeente
GM0177,NL,Raalte,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,171,Gemeente
GM0703,NL,Reimerswaal,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,102,Gemeente
GM0274,NL,Renkum,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,46,Gemeente
GM0339,NL,Renswoude,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,18,Gemeente
GM1667,NL,Reusel-De Mierden,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,78,Gemeente
GM0275,NL,Rheden,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,82,Gemeente
GM0340,NL,Rhenen,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,42,Gemeente
GM0597,NL,Ridderkerk,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,24,Gemeente
GM1742,NL,Rijssen-Holten,GGD Regio Twente,Twente,VR05      ,Overijssel,Oost-Nederland,Noord,94,Gemeente
GM0603,NL,Rijswijk,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,14,Gemeente
GM1669,NL,Roerdalen,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,88,Gemeente
GM0957,NL,Roermond,GGD Limburg-Noord,Limburg-Noord,VR23      ,Limburg,Zuid-Nederland,Zuid,61,Gemeente
GM1674,NL,Roosendaal,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,107,Gemeente
GM0599,NL,Rotterdam,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,218,Gemeente
GM0277,NL,Rozendaal,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Zuid,28,Gemeente
GM0840,NL,Rucphen,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,64,Gemeente
GM0441,NL,Schagen,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,168,Gemeente
GM0279,NL,Scherpenzeel,GGD Gelderland-Midden,Gelderland-Midden,VR07      ,Gelderland,Oost-Nederland,Midden,14,Gemeente
GM0606,NL,Schiedam,GGD Rotterdam-Rijnmond,Rotterdam-Rijnmond,VR17      ,Zuid-Holland,West-Nederland,Midden,18,Gemeente
GM0088,NL,Schiermonnikoog,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,41,Gemeente
GM1676,NL,Schouwen-Duiveland,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,230,Gemeente
GM0518,NL,'s-Gravenhage,GGD Haaglanden,Haaglanden,VR15      ,Zuid-Holland,West-Nederland,Midden,82,Gemeente
GM0796,NL,'s-Hertogenbosch,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,110,Gemeente
GM0965,NL,Simpelveld,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,16,Gemeente
GM1702,NL,Sint Anthonis,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,99,Gemeente
GM0845,NL,Sint-Michielsgestel,GGD Hart voor Brabant,Brabant-Noord,VR21      ,Noord-Brabant,Zuid-Nederland,Zuid,58,Gemeente
GM1883,NL,Sittard-Geleen,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,79,Gemeente
GM0610,NL,Sliedrecht,GGD Zuid-Holland Zuid,Zuid-Holland-Zuid,VR18      ,Zuid-Holland,West-Nederland,Midden,13,Gemeente
GM1714,NL,Sluis,GGD Zeeland,Zeeland,VR19      ,Zeeland,West-Nederland,Zuid,279,Gemeente
GM0090,NL,Smallingerland,GGD Fryslân,Fryslân,VR02      ,Friesland,Noord-Nederland,Noord,117,Gemeente
GM0342,NL,Soest,GGD Regio Utrecht,Utrecht,VR09      ,Utrecht,West-Nederland,Midden,46,Gemeente
GM0847,NL,Someren,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,80,Gemeente
GM0848,NL,Son en Breugel,GGD Brabant-Zuidoost,Brabant-Zuidoost,VR22      ,Noord-Brabant,Zuid-Nederland,Zuid,26,Gemeente
GM0037,NL,Stadskanaal,GGD Groningen,Groningen,VR01      ,Groningen,Noord-Nederland,Noord,118,Gemeente
GM0180,NL,Staphorst,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,134,Gemeente
GM0532,NL,Stede Broec,GGD Hollands-Noorden,Noord-Holland-Noord,VR10      ,Noord-Holland,West-Nederland,Noord,15,Gemeente
GM0851,NL,Steenbergen,GGD West-Brabant,Midden- en West-Brabant,VR20      ,Noord-Brabant,Zuid-Nederland,Zuid,146,Gemeente
GM1708,NL,Steenwijkerland,GGD IJsselland,IJsselland,VR04      ,Overijssel,Oost-Nederland,Noord,288,Gemeente
GM0971,NL,Stein,GGD Zuid-Limburg,Limburg-Zuid,VR24      ,Limburg,Zuid-Nederland,Zuid,21,Gemeente
